Table 1
CMANAME,CMAUID,CSDNAME,CSDUID,public_caf,public_ef,public_emp,public_gs,public_hf,public_psef,public_srf,walk_caf,walk_ef,walk_emp,walk_gs,walk_hf,walk_psef,walk_srf,ada_code_n,ADA_code
Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),998,Old Perlican,1001343,0,0,0,,0,0,0,0.00092600518852459,0.000753561336360145,0.0000457542008930901,1.79149333333333,0.0000146786846531764,0,0.000459243573770492,10010001,  10010001
St. John's,1,Pouch Cove,1001505,0,0,0,,0,0,0,0.00148188524390244,0,0.000350761971999984,,0.000153362374998809,0,0.0033517863902439,10010002,  10010002
Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),998,"Division No.  1, Subd. I",1001374,0,0,0,,0,0,0,0.00504206605396825,0.00100592232687542,0.00134172034856484,5.56056712962963,0.00128272720678845,0.013029145683969,0.00182910668888889,10010003,  10010003
St. John's,1,St. John's,1001519,0.00854941893457944,0.00881904288738482,0.00891196290734437,24.1739130434783,0.00804712175766661,0.0163637257256974,0.0118673052318332,0.00351902936448598,0.028732486963772,0.0109989994954453,5.63832666666667,0.0194786179925806,0.0265630819994654,0.0302794279252336,10010004,  10010004
St. John's,1,Torbay,1001509,0,0,0.00013051353193055,,0.000137971278112092,0,0.000175148706830649,0.0024721400212766,0.00569503519859375,0.00165108829899593,4.93494791666667,0.00200328023998388,0,0.00496195046808511,10010005,  10010005
St. John's,1,St. John's,1001519,0.028276769641791,0.0209622172434076,0.0223252217590152,23.9032258064516,0.0189483846108029,0.0247083923449714,0.0315658456416176,0.0106774927164179,0.0482954228357864,0.0144392236643208,5.97980666666667,0.0273160889776493,0.031712574217506,0.0488399044328358,10010006,  10010006
St. John's,1,St. John's,1001519,0.00880064378688524,0.0114129302416323,0.0147601589588296,31,0.00774620587015535,0.0116835595192341,0.0125127834046532,0.00205626490163934,0.00900816726769931,0.0115309720599406,7.82636481481482,0.00861899783518716,0,0.0121051654918033,10010007,  10010007
St. John's,1,St. John's,1001519,0.0146071442258064,0.0129146025179107,0.0138069304205109,21.85,0.01196436130599,0.0169556733229182,0.0185562886929751,0.00580005919354839,0.041213553215273,0.0156615001753361,5.30072311827957,0.0308067269128241,0.00260644913064624,0.040633429,10010008,  10010008
St. John's,1,St. John's,1001519,0.0603832413293413,0.0265314465320927,0.0338848746031127,7.31325301204819,0.027567342083255,0.0375298176814591,0.048399489321547,0.0678697067664671,0.0576145701961332,0.0413482052152829,2.62149475524475,0.051164010257332,0.00766776613381679,0.0907632816467066,10010009,  10010009
St. John's,1,St. John's,1001519,0.0148557136086957,0.0142182229065116,0.0141118243885091,26.2142857142857,0.010343686934188,0.0302238238277292,0.015926747976211,0.00474133976811594,0.0308826204498389,0.013043724198638,5.59153722222222,0.0137626730228099,0.0281904200005319,0.0223070609710145,10010010,  10010010
